epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,6404.17,0.52673,0.39415,0.92756,0.71272,0.38872,0.43444,0.29064,0.97806,0.74924,1.16978,0.008152,0.008152,0.008152
58,6515.84,0.51916,0.39161,0.9244,0.58332,0.39665,0.4319,0.28904,0.97313,0.7503,1.16554,0.008119,0.008119,0.008119
59,6628.57,0.51987,0.38595,0.92106,0.5658,0.39656,0.42944,0.28816,0.97126,0.74785,1.16227,0.008086,0.008086,0.008086
60,6740.28,0.51257,0.38544,0.92291,0.76019,0.38867,0.42904,0.28884,0.97417,0.73443,1.16263,0.008053,0.008053,0.008053
61,6852.85,0.50717,0.38284,0.9216,0.67336,0.38486,0.43934,0.29249,0.97868,0.73468,1.16622,0.00802,0.00802,0.00802
62,6964.46,0.51174,0.38434,0.92248,0.52689,0.41195,0.43726,0.29345,0.97392,0.75118,1.15998,0.007987,0.007987,0.007987
63,7077.07,0.50934,0.38044,0.91985,0.70067,0.40056,0.43456,0.29417,0.96465,0.72989,1.15393,0.007954,0.007954,0.007954
64,7188.8,0.51263,0.39011,0.92364,0.55912,0.39663,0.43904,0.29423,0.9669,0.72337,1.15462,0.007921,0.007921,0.007921
65,7301.4,0.50521,0.37697,0.92015,0.63149,0.40324,0.44031,0.29677,0.96316,0.73196,1.15464,0.007888,0.007888,0.007888
66,7413.19,0.50441,0.3809,0.92302,0.61869,0.41279,0.44217,0.30053,0.96078,0.71897,1.15584,0.007855,0.007855,0.007855
67,7525.87,0.49305,0.36775,0.91457,0.55768,0.43356,0.44928,0.29972,0.96617,0.71601,1.15177,0.007822,0.007822,0.007822
68,7637.49,0.49485,0.37196,0.90862,0.57066,0.41987,0.44378,0.30238,0.95845,0.70525,1.15286,0.007789,0.007789,0.007789
69,7750.17,0.49728,0.38035,0.9185,0.55761,0.43014,0.44946,0.3023,0.9588,0.70125,1.15211,0.007756,0.007756,0.007756
70,7862.01,0.48793,0.36383,0.90857,0.67266,0.37619,0.43734,0.29803,0.95272,0.71484,1.14623,0.007723,0.007723,0.007723
71,7974.73,0.48365,0.36309,0.91046,0.72416,0.41259,0.45005,0.30275,0.95184,0.70678,1.14998,0.00769,0.00769,0.00769
72,8086.6,0.4864,0.36382,0.90974,0.67301,0.41096,0.45953,0.30839,0.95183,0.70836,1.15038,0.007657,0.007657,0.007657
73,8199.4,0.4831,0.35918,0.90947,0.77573,0.40339,0.45344,0.30384,0.9485,0.69639,1.1385,0.007624,0.007624,0.007624
74,8311.31,0.48,0.3588,0.90802,0.6383,0.4197,0.45258,0.30243,0.95659,0.70957,1.14963,0.007591,0.007591,0.007591
75,8423.95,0.47966,0.35831,0.9095,0.57344,0.44751,0.45765,0.30786,0.95563,0.70215,1.14516,0.007558,0.007558,0.007558
76,8535.82,0.48603,0.36344,0.90751,0.64883,0.41242,0.45565,0.3056,0.95048,0.70173,1.13653,0.007525,0.007525,0.007525
77,8648.5,0.47697,0.35664,0.9026,0.62029,0.42721,0.45674,0.308,0.9422,0.69697,1.13707,0.007492,0.007492,0.007492
78,8760.22,0.4661,0.34515,0.89927,0.7159,0.41325,0.46132,0.31218,0.94243,0.68329,1.13188,0.007459,0.007459,0.007459
79,8872.79,0.47763,0.35478,0.90489,0.69322,0.41251,0.4628,0.30895,0.94845,0.68513,1.1468,0.007426,0.007426,0.007426
80,8984.42,0.47079,0.34902,0.9037,0.65316,0.42129,0.46699,0.31285,0.94104,0.6821,1.1386,0.007393,0.007393,0.007393
81,9097.17,0.46573,0.34684,0.89971,0.63033,0.41532,0.45916,0.31023,0.94119,0.68385,1.12882,0.00736,0.00736,0.00736
