epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6594.55,0.5059,0.38359,0.91166,0.56309,0.41085,0.43046,0.28792,0.99767,0.76598,1.15677,0.008086,0.008086,0.008086
60,6705.77,0.50331,0.37697,0.91111,0.6577,0.38243,0.43095,0.28621,0.99233,0.76504,1.15172,0.008053,0.008053,0.008053
61,6817.77,0.50427,0.37943,0.91063,0.63142,0.38428,0.42686,0.28518,0.99575,0.76172,1.15542,0.00802,0.00802,0.00802
62,6929,0.49618,0.37532,0.91009,0.63505,0.38845,0.42545,0.28353,0.99144,0.75252,1.15428,0.007987,0.007987,0.007987
63,7041.02,0.50032,0.3786,0.9086,0.63513,0.3952,0.43242,0.28746,0.98897,0.75615,1.15027,0.007954,0.007954,0.007954
64,7152.16,0.50037,0.37446,0.90895,0.62902,0.385,0.42898,0.28725,0.99003,0.75526,1.14955,0.007921,0.007921,0.007921
65,7264.28,0.50313,0.37797,0.91449,0.60509,0.43082,0.4417,0.29446,0.98594,0.74483,1.15118,0.007888,0.007888,0.007888
66,7375.56,0.49875,0.37545,0.90991,0.61019,0.40468,0.43437,0.28772,0.97857,0.75633,1.14978,0.007855,0.007855,0.007855
67,7487.68,0.4822,0.36336,0.90322,0.78073,0.38177,0.43266,0.29118,0.97612,0.74365,1.14612,0.007822,0.007822,0.007822
68,7598.95,0.49104,0.36943,0.90596,0.69232,0.40234,0.43501,0.2927,0.97507,0.74223,1.14151,0.007789,0.007789,0.007789
69,7711.13,0.48316,0.36169,0.90212,0.53745,0.40991,0.43781,0.29121,0.97822,0.7425,1.14563,0.007756,0.007756,0.007756
70,7822.3,0.47487,0.35755,0.89797,0.62896,0.412,0.44511,0.29606,0.98169,0.74221,1.14584,0.007723,0.007723,0.007723
71,7934.53,0.47311,0.35707,0.89813,0.53814,0.40272,0.43447,0.28975,0.97408,0.75185,1.14196,0.00769,0.00769,0.00769
72,8045.79,0.47596,0.35675,0.8989,0.72163,0.37371,0.44442,0.29821,0.97745,0.73082,1.14576,0.007657,0.007657,0.007657
73,8157.97,0.46943,0.35315,0.89636,0.64558,0.40336,0.44164,0.2947,0.97135,0.73943,1.1396,0.007624,0.007624,0.007624
74,8269.32,0.46683,0.34838,0.8956,0.66469,0.40058,0.44043,0.29662,0.96925,0.73564,1.13813,0.007591,0.007591,0.007591
75,8381.35,0.471,0.35251,0.89869,0.66715,0.4101,0.44156,0.29858,0.9617,0.73011,1.13592,0.007558,0.007558,0.007558
76,8492.73,0.47003,0.3498,0.89636,0.618,0.3929,0.43715,0.29305,0.96389,0.72926,1.13819,0.007525,0.007525,0.007525
77,8604.95,0.46468,0.34999,0.8935,0.57143,0.38939,0.44247,0.29764,0.96666,0.72352,1.13505,0.007492,0.007492,0.007492
78,8716.32,0.46491,0.34712,0.89452,0.57102,0.41054,0.442,0.30134,0.96296,0.719,1.13267,0.007459,0.007459,0.007459
79,8828.56,0.46603,0.35097,0.89492,0.69127,0.42367,0.44784,0.30098,0.95837,0.71599,1.13191,0.007426,0.007426,0.007426
80,8939.63,0.46163,0.34354,0.89288,0.79714,0.37349,0.45168,0.30431,0.96438,0.72682,1.13487,0.007393,0.007393,0.007393
81,9051.73,0.45883,0.3438,0.89047,0.57199,0.41623,0.44989,0.3051,0.95332,0.71349,1.1313,0.00736,0.00736,0.00736
82,9163.02,0.45459,0.34102,0.8904,0.5671,0.41478,0.44973,0.30327,0.96797,0.72412,1.13973,0.007327,0.007327,0.007327
83,9275.16,0.45634,0.33741,0.88979,0.77053,0.39443,0.45097,0.30369,0.95747,0.71392,1.13163,0.007294,0.007294,0.007294
84,9386.27,0.45133,0.3397,0.88785,0.6087,0.41499,0.45144,0.30439,0.95263,0.71321,1.13422,0.007261,0.007261,0.007261
85,9498.44,0.45639,0.33843,0.88953,0.54414,0.42201,0.44832,0.30411,0.95336,0.71662,1.13017,0.007228,0.007228,0.007228
86,9609.73,0.44956,0.33761,0.88844,0.69352,0.40521,0.45168,0.30398,0.95333,0.71103,1.12955,0.007195,0.007195,0.007195
87,9721.9,0.45202,0.34014,0.89103,0.55259,0.43106,0.46007,0.31066,0.94727,0.70052,1.12567,0.007162,0.007162,0.007162
88,9833.18,0.44749,0.33866,0.88946,0.54724,0.42661,0.44553,0.30254,0.95433,0.71783,1.12942,0.007129,0.007129,0.007129
89,9945.36,0.44079,0.33043,0.88581,0.59746,0.41612,0.44929,0.30307,0.94982,0.70264,1.12818,0.007096,0.007096,0.007096
90,10056.7,0.4435,0.33261,0.88605,0.60503,0.40754,0.45243,0.30589,0.95234,0.70169,1.12757,0.007063,0.007063,0.007063
91,10168.7,0.4469,0.33445,0.88619,0.53875,0.41796,0.45124,0.30507,0.94629,0.69567,1.12127,0.00703,0.00703,0.00703
92,10279.9,0.43928,0.32911,0.88421,0.51487,0.42022,0.45051,0.30454,0.94426,0.70129,1.11841,0.006997,0.006997,0.006997
93,10392.1,0.44245,0.33155,0.88602,0.66465,0.41356,0.44597,0.29994,0.94959,0.7023,1.11884,0.006964,0.006964,0.006964
94,10503.2,0.43656,0.32526,0.88242,0.79925,0.38144,0.45615,0.30953,0.94521,0.69011,1.12292,0.006931,0.006931,0.006931
95,10615.2,0.43689,0.3245,0.88339,0.65626,0.43859,0.46223,0.31436,0.94515,0.68899,1.12415,0.006898,0.006898,0.006898
96,10726.4,0.43698,0.32752,0.88152,0.68068,0.40581,0.46143,0.31341,0.95286,0.69095,1.12697,0.006865,0.006865,0.006865
97,10838.5,0.43942,0.32566,0.88403,0.59349,0.41825,0.4551,0.30931,0.94686,0.69411,1.12211,0.006832,0.006832,0.006832
98,10949.9,0.43327,0.32705,0.8826,0.59026,0.43172,0.46664,0.31303,0.9438,0.68783,1.11988,0.006799,0.006799,0.006799
99,11062,0.43017,0.32308,0.88266,0.6315,0.42567,0.46557,0.31104,0.94447,0.68397,1.11902,0.006766,0.006766,0.006766
100,11173.3,0.4266,0.31901,0.8793,0.54662,0.42787,0.45883,0.31053,0.94294,0.68621,1.11518,0.006733,0.006733,0.006733
101,11285.4,0.42978,0.32312,0.88074,0.5687,0.448,0.47334,0.31751,0.93693,0.67862,1.1103,0.0067,0.0067,0.0067
102,11396.8,0.42093,0.3161,0.87593,0.68793,0.42213,0.46982,0.31782,0.936,0.68148,1.11352,0.006667,0.006667,0.006667
103,11508.9,0.4297,0.31874,0.87976,0.57263,0.4318,0.46217,0.31349,0.93374,0.68214,1.11479,0.006634,0.006634,0.006634
104,11620.2,0.42427,0.31695,0.87999,0.66655,0.41458,0.46187,0.31555,0.93608,0.68611,1.11356,0.006601,0.006601,0.006601
105,11732.4,0.43135,0.32094,0.88028,0.58514,0.42454,0.46209,0.31449,0.93502,0.68726,1.11611,0.006568,0.006568,0.006568
106,11843.7,0.42457,0.31702,0.87704,0.65212,0.42112,0.46417,0.31271,0.93588,0.67678,1.11344,0.006535,0.006535,0.006535
107,11955.9,0.42352,0.31255,0.87466,0.59549,0.43744,0.46807,0.31501,0.93743,0.67098,1.11354,0.006502,0.006502,0.006502
108,12067.1,0.42052,0.31141,0.87514,0.52864,0.44832,0.46594,0.31389,0.93391,0.67614,1.1149,0.006469,0.006469,0.006469
109,12179.2,0.41373,0.30852,0.87441,0.58827,0.42038,0.46642,0.31578,0.93302,0.67474,1.1123,0.006436,0.006436,0.006436
110,12290.3,0.41861,0.31136,0.87493,0.59786,0.43763,0.47435,0.32105,0.9327,0.67564,1.10855,0.006403,0.006403,0.006403
111,12402.5,0.41645,0.3093,0.87425,0.64166,0.43514,0.47432,0.31924,0.93117,0.6735,1.10888,0.00637,0.00637,0.00637
112,12513.8,0.41399,0.31022,0.87219,0.60172,0.4449,0.47024,0.32013,0.93147,0.66905,1.10908,0.006337,0.006337,0.006337
113,12625.9,0.40896,0.30193,0.87248,0.54762,0.45647,0.47681,0.32107,0.92276,0.66793,1.10284,0.006304,0.006304,0.006304
114,12737.3,0.41689,0.30869,0.87236,0.55782,0.44011,0.47098,0.32253,0.92461,0.67168,1.10506,0.006271,0.006271,0.006271
115,12849.4,0.40915,0.30416,0.871,0.74983,0.42086,0.48107,0.3245,0.92757,0.66675,1.10381,0.006238,0.006238,0.006238
116,12960.7,0.4085,0.30142,0.87137,0.60376,0.46013,0.48014,0.3232,0.9241,0.6681,1.103,0.006205,0.006205,0.006205
117,13072.8,0.41376,0.30616,0.87049,0.59298,0.44833,0.4765,0.32148,0.92685,0.66419,1.10779,0.006172,0.006172,0.006172
118,13184.1,0.41,0.30333,0.87454,0.59663,0.45735,0.47494,0.32019,0.92117,0.66178,1.10353,0.006139,0.006139,0.006139
119,13296.4,0.40523,0.30334,0.86923,0.62112,0.44881,0.47734,0.32197,0.92873,0.6684,1.10392,0.006106,0.006106,0.006106
120,13407.6,0.41122,0.30641,0.87216,0.597,0.44908,0.48169,0.32416,0.9252,0.66259,1.10113,0.006073,0.006073,0.006073
121,13519.8,0.40876,0.30285,0.87043,0.56715,0.45586,0.47556,0.32177,0.92246,0.66647,1.1036,0.00604,0.00604,0.00604
122,13631,0.40626,0.30304,0.87126,0.5923,0.46097,0.47837,0.32581,0.91574,0.66369,1.09967,0.006007,0.006007,0.006007
123,13743.2,0.40936,0.30518,0.87311,0.66352,0.45937,0.48906,0.32785,0.91893,0.65678,1.10399,0.005974,0.005974,0.005974
124,13854.4,0.40386,0.29829,0.86923,0.67639,0.45448,0.48474,0.32635,0.92116,0.65801,1.1024,0.005941,0.005941,0.005941
125,13966.5,0.40027,0.29695,0.8697,0.56374,0.46047,0.48633,0.32718,0.91966,0.65396,1.10178,0.005908,0.005908,0.005908
126,14077.8,0.39869,0.29359,0.86558,0.66194,0.4384,0.48779,0.32664,0.92039,0.65713,1.10114,0.005875,0.005875,0.005875
127,14190,0.39317,0.28958,0.86494,0.66112,0.43817,0.4849,0.32663,0.91703,0.66146,1.09929,0.005842,0.005842,0.005842
128,14301.3,0.39761,0.29357,0.86564,0.6472,0.44539,0.48296,0.32577,0.92138,0.6562,1.10217,0.005809,0.005809,0.005809
129,14413.4,0.39947,0.29549,0.86694,0.65399,0.44109,0.48755,0.32754,0.92142,0.65557,1.10268,0.005776,0.005776,0.005776
130,14524.6,0.39666,0.29092,0.86515,0.63889,0.44124,0.4814,0.32622,0.91957,0.65296,1.0998,0.005743,0.005743,0.005743
131,14636.8,0.39194,0.28757,0.86417,0.59947,0.45705,0.48175,0.32675,0.91325,0.64898,1.09813,0.00571,0.00571,0.00571
132,14748.1,0.39858,0.29354,0.86768,0.59223,0.46505,0.4894,0.32837,0.91238,0.64905,1.10094,0.005677,0.005677,0.005677
133,14860.3,0.39397,0.29163,0.86674,0.60294,0.4638,0.48567,0.32645,0.91002,0.6484,1.09891,0.005644,0.005644,0.005644
134,14971.6,0.3965,0.29263,0.86658,0.58996,0.45015,0.47907,0.32514,0.9116,0.65053,1.09975,0.005611,0.005611,0.005611
135,15083.6,0.38727,0.28534,0.86181,0.64268,0.44121,0.48381,0.3271,0.9103,0.6467,1.0965,0.005578,0.005578,0.005578
136,15194.9,0.39066,0.29002,0.86492,0.65431,0.4408,0.48615,0.32818,0.91268,0.64699,1.09818,0.005545,0.005545,0.005545
137,15307,0.38411,0.28669,0.86264,0.67037,0.43561,0.48485,0.32691,0.9106,0.64864,1.09748,0.005512,0.005512,0.005512
138,15418.3,0.38364,0.28438,0.86255,0.69316,0.43003,0.48454,0.32785,0.9113,0.64807,1.09929,0.005479,0.005479,0.005479
139,15530.5,0.38343,0.28617,0.8622,0.59591,0.46747,0.48413,0.33022,0.91182,0.64354,1.09797,0.005446,0.005446,0.005446
140,15641.6,0.38699,0.2864,0.86386,0.57988,0.47031,0.48846,0.33045,0.91146,0.63999,1.09782,0.005413,0.005413,0.005413
141,15753.7,0.39019,0.28872,0.86402,0.57937,0.46478,0.48521,0.33031,0.91258,0.63797,1.09883,0.00538,0.00538,0.00538
142,15865,0.38905,0.28803,0.86256,0.59395,0.46441,0.48887,0.333,0.91096,0.6369,1.09888,0.005347,0.005347,0.005347
143,15977.1,0.37651,0.2783,0.85689,0.64764,0.45479,0.49146,0.3349,0.91201,0.64255,1.10102,0.005314,0.005314,0.005314
144,16088.3,0.38304,0.2818,0.86,0.61431,0.4629,0.48795,0.33211,0.91563,0.64582,1.10309,0.005281,0.005281,0.005281
145,16200.4,0.38508,0.28298,0.86191,0.60571,0.45875,0.48867,0.33118,0.91226,0.63977,1.10046,0.005248,0.005248,0.005248
146,16311.7,0.38741,0.28712,0.86555,0.71833,0.43819,0.49436,0.33392,0.91233,0.64173,1.09987,0.005215,0.005215,0.005215
147,16423.9,0.37242,0.27684,0.85913,0.63215,0.44892,0.49053,0.33142,0.90964,0.64018,1.0979,0.005182,0.005182,0.005182
148,16535.1,0.37903,0.27845,0.86212,0.72076,0.43894,0.49567,0.33494,0.91002,0.64176,1.09856,0.005149,0.005149,0.005149
149,16647.2,0.3767,0.2769,0.85662,0.68988,0.44979,0.50092,0.33604,0.91302,0.63695,1.0986,0.005116,0.005116,0.005116
150,16758.5,0.36831,0.27212,0.85603,0.61942,0.46307,0.49601,0.33594,0.91287,0.63684,1.09721,0.005083,0.005083,0.005083
151,16870.6,0.37276,0.27394,0.85573,0.65358,0.45989,0.49815,0.3382,0.90935,0.63274,1.09419,0.00505,0.00505,0.00505
152,16981.8,0.37969,0.2784,0.85755,0.67845,0.44587,0.49665,0.33627,0.90576,0.6312,1.09146,0.005017,0.005017,0.005017
153,17093.8,0.37623,0.27446,0.8566,0.6903,0.45291,0.49538,0.33522,0.91034,0.63583,1.09353,0.004984,0.004984,0.004984
154,17205,0.37721,0.28064,0.86052,0.66353,0.45439,0.49742,0.33625,0.9099,0.63268,1.09455,0.004951,0.004951,0.004951
155,17317.2,0.37234,0.27532,0.85683,0.67077,0.46495,0.49878,0.33717,0.9077,0.6309,1.0951,0.004918,0.004918,0.004918
156,17428.5,0.36781,0.26835,0.854,0.70692,0.4648,0.4987,0.33846,0.90403,0.63154,1.09052,0.004885,0.004885,0.004885
157,17540.6,0.3682,0.27121,0.85604,0.78755,0.43987,0.49895,0.3376,0.90346,0.63231,1.08972,0.004852,0.004852,0.004852
158,17651.9,0.36956,0.27131,0.85558,0.67573,0.46712,0.50349,0.34076,0.90212,0.63211,1.08893,0.004819,0.004819,0.004819
159,17764.1,0.37206,0.27337,0.85423,0.73969,0.43868,0.50008,0.33864,0.90236,0.63055,1.09056,0.004786,0.004786,0.004786
160,17875.2,0.3745,0.27701,0.85838,0.67368,0.45582,0.50009,0.3366,0.90345,0.63324,1.09221,0.004753,0.004753,0.004753
161,17987.4,0.36592,0.26933,0.85531,0.66719,0.45751,0.50108,0.33608,0.90209,0.62977,1.09043,0.00472,0.00472,0.00472
162,18098.5,0.3645,0.26826,0.85382,0.64312,0.46338,0.50121,0.33745,0.90486,0.62856,1.09242,0.004687,0.004687,0.004687
163,18210.7,0.3703,0.27149,0.85666,0.67427,0.45828,0.50156,0.33828,0.90352,0.62744,1.0906,0.004654,0.004654,0.004654
164,18321.9,0.36375,0.27069,0.85205,0.70709,0.45299,0.50017,0.33864,0.90291,0.62663,1.09021,0.004621,0.004621,0.004621
165,18434.1,0.36625,0.26999,0.85589,0.66662,0.45271,0.50007,0.33861,0.90258,0.62295,1.09094,0.004588,0.004588,0.004588
166,18545.2,0.36162,0.26813,0.85515,0.68052,0.45516,0.49771,0.33794,0.90268,0.62273,1.0903,0.004555,0.004555,0.004555
